conversion_id,click_id,revenue
8000,150001,1.252539
8001,150015,0.644889
8002,150018,1.251805
8003,150020,0.554386
8004,150031,1.019945
8005,150033,1.399515
8006,150036,0.915988
8007,150043,0.674833
8008,150060,0.51617
8009,150092,1.392201
8010,150111,1.130221
8011,150113,0.574246
8012,150128,1.46633
8013,150143,1.184914
8014,150153,0.873769
8015,150164,0.697256
8016,150204,0.408251
8017,150217,0.530214
8018,150224,1.380333
8019,150265,1.269487
8020,150279,0.958162
8021,150291,0.945509
8022,150314,1.250982
8023,150322,0.312518
8024,150324,0.670212
8025,150339,0.575456
8026,150349,1.194869
8027,150365,1.323484
8028,150375,0.566217
8029,150384,0.646902
8030,150409,1.198187
8031,150450,0.992726
8032,150456,1.496505
8033,150471,0.878008
8034,150473,0.528775
8035,150477,0.43446
8036,150490,0.584534
8037,150494,1.386042
8038,150498,1.303892
8039,150502,0.654823
8040,150503,1.151064
8041,150508,0.478597
8042,150510,1.108368
8043,150522,1.424321
8044,150532,0.316994
8045,150534,1.355423
8046,150554,1.297259
8047,150565,1.041183
8048,150576,0.902017
8049,150585,0.469666
8050,150590,0.85371
8051,150609,1.320566
8052,150614,1.424762
8053,150637,1.416259
8054,150670,0.646014
8055,150683,1.354653
8056,150723,1.322002
8057,150735,1.36818
8058,150739,0.339209
8059,150747,1.122893
8060,150771,0.492222
8061,150864,1.162898
8062,150879,1.173024
8063,150890,0.317903
8064,150899,0.906728
8065,150910,0.988728
8066,150913,1.155175
8067,150919,0.934955
8068,150928,0.510291
8069,150935,0.649669
8070,150942,0.87573
8071,150954,0.463408
8072,150981,0.419186
8073,150982,1.078542
8074,150985,0.548967
8075,150991,1.175192
8076,150992,1.25521
8077,150998,0.315207
8078,151024,0.368422
8079,151042,1.096741
8080,151052,1.471845
8081,151058,0.756497
8082,151071,1.489958
8083,151082,1.334997
8084,151086,1.451351
8085,151087,0.307207
8086,151095,1.090898
8087,151098,1.114963
8088,151109,0.779216
8089,151144,1.063466
8090,151154,0.410198
8091,151165,1.498962
8092,151176,0.987595
8093,151177,0.849727
8094,151179,0.357973
8095,151182,0.729171
8096,151195,1.204829
8097,151198,1.046407
8098,151203,0.692762
8099,151253,0.575966
8100,151278,0.904175
8101,151285,0.770323
8102,151291,1.387031
8103,151311,0.994819
8104,151314,1.480006
8105,151324,0.419494
8106,151328,0.564697
8107,151329,0.937459
8108,151336,0.659148
8109,151347,0.956223
8110,151377,0.649812
8111,151382,0.376655
8112,151383,1.317636
8113,151408,0.353919
8114,151428,1.239988
8115,151434,0.846841
8116,151465,1.400017
8117,151486,1.117589
8118,151510,0.333179
8119,151519,0.708405
8120,151538,0.984115
8121,151543,1.01051
8122,151544,0.432932
8123,151549,0.728892
8124,151589,0.946971
8125,151593,1.019529
8126,151594,0.350393
8127,151605,0.340969
8128,151642,0.661305
8129,151648,0.467579
8130,151680,1.053034
8131,151683,0.937156
8132,151687,1.249994
8133,151691,0.379404
8134,151695,0.669547
8135,151703,1.487373
8136,151707,0.895296
8137,151712,1.006025
8138,151735,1.446514
8139,151737,0.888155
8140,151754,0.658764
8141,151757,1.186106
8142,151777,1.11567
8143,151781,0.310899
8144,151791,0.68216
8145,151846,0.644144
8146,151847,0.665669
8147,151852,1.385829
8148,151863,1.164357
8149,151866,0.444843
8150,151868,0.652255
8151,151875,1.108591
8152,151880,0.965282
8153,151901,0.970716
8154,151956,1.397984
8155,151974,1.266918
8156,151978,1.157606
8157,151994,1.496025
8158,151996,0.786576
8159,152041,0.343195
8160,152069,0.822321
8161,152081,1.324297
8162,152084,0.698352
8163,152089,0.764224
8164,152097,0.72793
8165,152144,0.750951
8166,152161,1.242095
8167,152175,1.017568
8168,152178,1.29297
8169,152194,0.50882
8170,152211,1.28134
8171,152219,1.062137
8172,152222,1.325291
8173,152239,1.180137
8174,152243,1.286265
8175,152249,1.053714
8176,152257,1.227883
8177,152275,0.402535
8178,152278,0.940077
8179,152289,0.30737
8180,152325,0.61742
8181,152354,1.091928
8182,152356,1.435138
8183,152364,1.410708
8184,152369,1.219745
8185,152373,0.889389
8186,152381,1.442907
8187,152385,1.128132
8188,152386,0.978762
8189,152389,1.119877
8190,152428,0.68868
8191,152440,1.378221
8192,152445,0.437035
8193,152448,0.856991
8194,152458,0.594909
8195,152481,0.31136
8196,152494,1.280341
8197,152504,0.997564
8198,152520,0.330277
8199,152526,1.055372
8200,152530,1.396759
8201,152537,1.099296
8202,152561,0.793165
8203,152571,1.448123
8204,152581,0.429809
8205,152588,0.440723
8206,152589,0.467393
8207,152590,1.251276
8208,152597,0.515236
8209,152606,1.494833
8210,152627,1.464895
8211,152638,1.416918
8212,152643,0.9331
8213,152657,1.182416
8214,152663,1.013332
8215,152702,0.506963
8216,152720,0.737276
8217,152739,0.739473
8218,152750,1.436021
8219,152836,1.382014
8220,152838,0.895501
8221,152858,0.309814
8222,152867,1.385963
8223,152870,0.745738
8224,152878,0.636213
8225,152901,0.371979
8226,152914,0.534193
8227,152920,0.685132
8228,152923,0.7692
8229,152933,1.454121
8230,152969,0.780716
8231,152981,0.541932
8232,153030,0.365589
8233,153031,0.344658
8234,153035,1.268665
8235,153040,1.498048
8236,153047,0.807617
