banner_id,campaign_id
143,19
219,12
267,42
312,17
347,30
423,1
490,39
318,12
298,13
282,13
497,30
420,22
270,35
426,13
108,44
423,1
204,25
477,4
390,41
408,42
215,10
360,21
210,38
240,16
355,16
372,15
434,22
187,44
333,6
350,50
250,10
489,5
116,36
345,20
160,8
282,37
220,15
298,35
127,42
116,48
428,29
244,49
107,4
467,18
327,5
207,36
278,4
274,15
128,49
357,35
363,1
174,44
225,6
395,4
446,39
218,49
362,21
235,30
292,35
204,33
199,4
106,14
160,36
107,33
269,11
276,37
164,28
231,22
496,27
297,6
182,48
218,2
355,9
342,36
367,22
146,50
431,49
221,41
190,29
248,38
207,39
276,28
472,21
412,41
207,30
100,49
238,11
159,38
449,19
404,2
119,43
361,13
224,46
243,29
294,41
144,21
251,44
333,38
412,36
345,39
394,40
294,23
152,25
194,26
374,13
479,34
305,25
282,41
118,28
193,47
241,1
304,50
117,18
375,29
209,38
236,26
107,45
337,26
223,41
135,10
414,14
389,16
400,44
449,31
169,19
433,26
148,31
152,26
262,7
229,25
143,14
208,10
147,25
206,12
155,35
298,17
102,3
200,34
454,11
458,4
319,25
442,30
339,8
308,12
370,23
120,22
312,33
400,20
325,1
491,28
230,3
154,43
273,6
155,34
484,37
310,16
179,9
449,14
429,7
366,30
183,41
262,16
274,13
362,1
240,9
201,46
374,8
207,34
144,20
277,15
471,7
182,29
251,9
446,12
156,9
439,24
124,22
281,12
128,18
357,36
476,20
303,11
451,4
102,8
323,45
103,46
448,34
207,12
169,25
454,24
119,50
114,48
183,39
128,3
458,50
184,10
366,45
239,41
293,26
116,38
359,49
308,50
190,14
217,12
125,4
131,16
481,41
102,9
146,31
250,38
289,22
427,27
457,34
359,18
421,10
241,10
313,47
414,23
122,34
219,46
479,2
201,48
388,12
382,7
412,2
491,46
456,1
462,17
422,48
204,46
264,15
114,48
198,33
435,37
496,45
381,17
163,33
280,15
406,36
410,9
488,12
378,44
147,31
221,1
459,13
392,20
207,15
167,1
467,12
295,13
171,11
125,46
281,15
449,21
213,5
216,31
420,1
120,31
132,32
334,29
200,23
466,39
226,40
410,16
216,45
386,50
363,13
445,32
171,13
486,16
184,15
356,39
425,34
162,14
100,1
266,22
497,36
123,19
302,32
344,15
224,46
307,15
480,44
482,24
355,37
127,42
417,39
453,33
422,5
300,34
288,50
297,19
454,31
213,5
356,19
354,7
458,44
308,4
411,43
104,25
461,48
218,9
361,32
385,40
403,5
206,36
259,12
320,41
107,33
243,11
480,30
252,25
340,17
170,4
101,6
206,47
112,21
307,10
455,33
465,3
285,14
174,31
296,30
201,16
216,44
491,37
472,39
256,10
354,28
339,7
281,1
161,45
131,15
431,20
394,13
296,45
416,10
115,38
268,27
382,43
150,21
468,16
408,47
170,23
350,1
470,21
258,23
214,46
323,46
405,11
308,23
176,41
447,15
320,15
229,48
476,33
289,45
479,36
293,9
230,34
145,33
196,5
431,28
368,29
415,37
197,30
296,43
418,3
352,22
179,39
442,47
234,15
238,39
330,6
133,23
486,4
353,35
295,36
416,37
392,3
366,1
180,5
414,21
316,35
380,35
266,3
142,42
120,20
398,23
305,9
235,29
289,5
423,32
392,17
117,48
159,30
331,14
297,30
469,41
388,25
127,26
449,47
303,37
360,31
107,18
388,36
155,4
112,30
428,36
476,21
127,33
376,43
269,15
490,1
387,37
263,22
331,7
464,40
118,43
258,4
264,20
425,41
304,38
379,25
200,27
300,48
418,17
411,16
144,37
277,49
136,30
398,20
324,18
347,17
199,10
466,9
303,32
216,22
305,25
252,4
307,7
217,15
388,37
151,12
382,15
179,1
310,28
130,4
169,45
355,21
280,45
496,33
158,4
212,35
181,32
137,15
257,18
116,40
346,22
151,6
359,11
258,27
459,12
291,37
308,26
447,10
431,17
438,47
469,24
497,29
453,5
254,38
181,22
449,33
347,9
438,19
332,4
348,33
322,30
428,27
147,12
360,25
319,42
225,7
263,49
274,21
384,37
272,8
153,20
242,6
134,47
139,22
231,26
237,3
498,43
133,20
333,22
277,41
272,19
339,8
301,15
111,15
226,17
376,29
132,48
422,16
464,38
290,35
163,28
128,50
430,3
216,34
223,25
229,2
197,32
160,15
260,27
346,49
206,42
301,50
333,10
319,16
158,16
235,35
185,15
342,3
424,28
420,43
304,36
331,38
403,18
263,45
394,5
120,28
143,48
409,35
237,27
463,3
204,33
199,28
259,20
339,21
159,10
409,25
427,6
166,33
431,19
245,38
470,3
329,11
185,38
133,4
315,45
322,22
279,15
261,28
435,42
265,26
475,28
310,26
138,35
158,6
204,12
371,34
259,50
477,13
242,17
417,18
460,9
232,1
239,41
479,18
189,19
150,4
185,45
103,30
380,26
234,40
188,50
377,16
460,47
409,18
283,44
230,46
395,26
440,8
241,37
318,9
436,18
470,22
255,15
322,43
441,22
325,1
463,38
304,17
428,23
272,9
208,7
195,46
289,12
116,15
404,44
235,29
487,3
467,28
166,34
334,43
452,6
479,5
485,48
170,42
182,46
237,37
402,4
339,13
363,44
201,1
465,30
118,49
460,27
337,6
150,50
477,48
240,9
330,12
225,30
105,21
379,14
154,27
240,47
476,49
139,49
201,22
239,20
252,7
310,26
335,5
452,36
320,35
438,37
149,2
233,38
388,14
194,32
146,28
280,26
162,28
384,39
312,31
109,1
325,14
348,24
288,10
478,21
206,48
472,42
272,7
221,46
381,7
362,39
486,18
108,36
391,25
201,5
208,9
136,1
462,42
404,44
212,3
149,33
324,31
154,5
105,37
369,28
149,25
399,35
229,36
114,34
228,36
236,12
396,20
427,7
296,18
459,32
207,47
254,38
439,32
358,4
293,19
452,40
153,26
457,8
497,13
283,20
147,43
217,47
101,20
394,47
451,4
154,8
225,33
404,6
331,34
390,1
173,49
199,42
166,17
162,41
351,32
193,34
242,45
205,25
284,43
322,29
336,25
493,46
492,16
484,46
130,25
258,37
232,33
478,49
321,43
419,30
469,6
125,29
385,7
299,18
269,15
120,40
157,32
307,29
286,24
402,14
396,10
481,19
284,39
305,10
404,9
302,6
173,34
294,42
117,5
476,22
192,17
189,33
197,6
250,41
396,10
395,47
218,16
449,23
119,46
369,20
144,25
134,6
442,44
220,18
431,29
426,46
186,30
338,46
131,43
222,6
441,12
468,22
176,50
343,16
213,23
399,26
410,48
350,15
492,37
363,7
392,27
236,12
441,42
424,12
498,32
499,24
180,40
207,48
430,2
484,49
197,38
125,14
234,41
373,10
186,3
500,32
178,30
311,37
132,23
440,16
439,38
126,33
220,13
350,12
109,10
293,48
402,19
340,3
288,31
221,3
341,24
295,24
406,48
438,39
206,38
323,7
333,30
291,13
479,22
385,35
306,34
182,19
167,31
259,32
190,12
393,47
315,22
366,26
255,40
337,35
382,34
228,31
369,17
130,35
415,17
190,17
246,33
413,6
346,15
228,30
281,11
189,6
333,11
148,13
334,42
308,10
459,31
453,35
377,22
282,18
303,47
193,9
494,27
303,37
274,18
427,14
208,30
210,28
283,3
397,3
172,18
158,14
130,48
266,14
151,26
374,18
385,5
325,31
104,23
498,15
497,6
364,17
266,5
369,47
332,24
140,44
304,6
326,24
228,43
449,50
131,6
444,8
347,47
444,50
103,12
160,4
208,46
311,16
473,16
280,46
252,29
421,18
297,21
306,46
110,25
291,16
222,9
251,50
299,5
159,27
358,14
360,15
310,23
339,43
351,19
193,17
450,18
356,46
296,32
489,48
339,11
270,30
224,41
138,31
102,4
360,45
494,50
223,39
443,43
348,40
375,44
266,36
188,36
164,30
359,14
299,2
333,18
302,16
293,29
311,43
246,32
200,7
277,48
374,46
289,9
305,8
392,19
127,2
219,46
229,28
471,11
450,22
248,46
140,31
425,41
250,48
436,43
418,12
415,50
254,22
356,29
375,26
417,39
248,26
287,23
424,31
122,11
344,35
154,18
176,37
152,25
428,43
405,12
485,44
422,46
143,26
305,21
415,43
211,35
214,4
355,7
319,42
280,47
313,41
258,6
396,33
279,21
390,18
247,15
417,27
144,14
166,17
111,42
241,10
116,45
468,18
128,17
249,13
322,37
358,1
365,42
252,36
437,13
269,31
260,9
134,39
427,3
487,50
116,47
161,19
126,37
307,8
387,29
161,33
436,40
479,42
276,33
474,32
488,3
461,26
129,30
282,2
314,20
442,49
492,23
381,1
341,23
184,45
121,11
339,14
447,1
266,4
366,19
398,16
225,36
458,20
465,31
272,34
201,20
367,29
286,28
307,40
476,11
105,19
378,20
101,21
441,28
181,30
352,12
138,30
185,43
167,42
465,28
134,5
327,41
159,40
160,41
384,36
222,25
458,2
111,16
124,44
372,11
133,25
314,41
389,49
234,20
329,25
107,38
479,45
102,41
387,17
338,47
281,33
490,14
261,5
440,28
298,5
201,44
279,23
233,41
184,50
452,11
158,50
386,8
387,6
319,48
483,38
305,49
243,5
