click_id,banner_id,campaign_id
190000,497,47
190001,408,45
190002,472,40
190003,231,17
190004,181,17
190005,101,48
190006,100,38
190007,475,23
190008,186,7
190009,263,3
190010,160,42
190011,231,46
190012,270,25
190013,270,43
190014,395,46
190015,135,6
190016,186,36
190017,322,4
190018,461,43
190019,451,44
190020,372,10
190021,284,11
190022,392,34
190023,497,19
190024,430,6
190025,472,39
190026,266,26
190027,339,12
190028,489,33
190029,176,33
190030,369,19
190031,219,45
190032,423,39
190033,369,24
190034,462,12
190035,417,49
190036,207,42
190037,446,21
190038,252,19
190039,240,36
190040,246,27
190041,281,21
190042,228,41
190043,484,31
190044,183,5
190045,184,36
190046,444,32
190047,430,46
190048,310,41
190049,455,5
190050,365,17
190051,123,37
190052,105,33
190053,474,18
190054,492,4
190055,420,49
190056,320,11
190057,188,38
190058,105,38
190059,218,46
190060,351,1
190061,344,30
190062,221,27
190063,249,32
190064,386,48
190065,229,37
190066,324,45
190067,122,32
190068,110,39
190069,122,33
190070,182,48
190071,334,31
190072,271,28
190073,300,27
190074,165,30
190075,224,2
190076,465,16
190077,359,24
190078,199,8
190079,186,32
190080,483,33
190081,142,38
190082,131,49
190083,491,28
190084,174,21
190085,200,14
190086,431,21
190087,109,21
190088,498,34
190089,472,16
190090,377,15
190091,165,16
190092,232,46
190093,496,38
190094,474,13
190095,282,34
190096,446,13
190097,221,31
190098,325,30
190099,373,19
190100,150,19
190101,373,24
190102,496,7
190103,141,22
190104,192,46
190105,177,23
190106,333,19
190107,421,41
190108,464,10
190109,401,16
190110,500,23
190111,375,49
190112,165,50
190113,448,6
190114,299,17
190115,187,18
190116,460,19
190117,104,35
190118,317,48
190119,135,18
190120,242,48
190121,201,40
190122,451,35
190123,498,48
190124,183,34
190125,148,40
190126,466,32
190127,382,28
190128,342,21
190129,135,3
190130,453,39
190131,239,33
190132,311,50
190133,386,23
190134,218,35
190135,212,44
190136,350,20
190137,181,41
190138,384,4
190139,265,40
190140,462,14
190141,182,24
190142,272,42
190143,427,38
190144,185,20
190145,436,37
190146,124,7
190147,323,19
190148,439,15
190149,457,42
190150,334,16
190151,490,50
190152,209,22
190153,422,7
190154,203,20
190155,342,26
190156,313,34
190157,232,28
190158,362,17
190159,498,18
190160,245,48
190161,282,41
190162,213,44
190163,433,5
190164,128,6
190165,229,36
190166,124,24
190167,154,2
190168,416,49
190169,163,38
190170,461,10
190171,474,37
190172,343,48
190173,301,35
190174,301,31
190175,404,8
190176,123,47
190177,301,28
190178,445,33
190179,235,26
190180,138,15
190181,213,4
190182,176,4
190183,434,37
190184,179,34
190185,235,18
190186,203,43
190187,233,31
190188,452,29
190189,438,46
190190,100,36
190191,140,29
190192,294,35
190193,104,21
190194,130,9
190195,351,32
190196,411,3
190197,460,44
190198,211,44
190199,245,35
190200,237,9
190201,401,5
190202,257,18
190203,208,39
190204,233,37
190205,244,3
190206,255,32
190207,398,28
190208,153,13
190209,162,42
190210,119,42
190211,327,24
190212,268,38
190213,360,32
190214,327,31
190215,105,23
190216,499,23
190217,380,21
190218,280,26
190219,125,28
190220,172,23
190221,179,44
190222,144,48
190223,273,28
190224,112,37
190225,428,5
190226,226,27
190227,445,23
190228,469,45
190229,410,37
190230,146,5
190231,359,10
190232,402,41
190233,337,44
190234,114,50
190235,316,15
190236,142,37
190237,155,32
190238,424,31
190239,218,40
190240,195,21
190241,499,33
190242,499,22
190243,247,30
190244,168,18
190245,440,47
190246,132,37
190247,226,46
190248,493,20
190249,120,22
190250,424,24
190251,170,19
190252,432,43
190253,136,21
190254,392,44
190255,133,34
190256,280,15
